commonName,Type,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW170823,Binary Black Hole Collision,39.5,-6.7,11.2,29,-7.8,6.7,12.2,-0.3,0.2,1940,-900,970,0.09,-0.26,0.22,,,,29.2,-3.6,4.6,0.35,-0.15,0.15,1,65.4,-7.4,10.1
GW190403_051519,Binary Black Hole Collision,85,-33,27.8,20,-8.4,26.3,7.6,-1.1,0.6,8280,-4290,6720,0.68,-0.43,0.16,106.6,-23.6,26.7,34,-8.4,15.1,1.18,-0.53,0.73,0.60924,102.2,-24.3,26.3
GW190408_181802,Binary Black Hole Collision,24.8,-3.5,5.4,18.5,-4,3.3,14.6,-0.3,0.2,1540,-620,440,-0.03,-0.17,0.13,43.4,-3,4.2,18.5,-1.2,1.9,0.29,-0.11,0.07,1,41.4,-2.9,3.9
GW190412,Binary Black Hole Collision,27.7,-6,6,9,-1.4,2,19.8,-0.3,0.2,720,-220,240,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,0.15,-0.04,0.04,1,35.6,-4.5,4.8
GW190413_052954,Binary Black Hole Collision,33.7,-6.4,10.4,24.2,-7,6.5,9,-0.8,0.4,3320,-1400,1910,-0.04,-0.32,0.27,58,-7.8,10.6,24.5,-3.4,4.6,0.56,-0.21,0.25,0.9275,55.5,-7.3,10.1
GW190413_134308,Binary Black Hole Collision,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,3800,-1830,2480,-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,0.62,-0.26,0.32,0.99058,78,-11.5,16.1
GW190421_213856,Binary Black Hole Collision,42,-7.4,10.1,32,-9.8,8.3,10.7,-0.4,0.2,2590,-1240,1490,-0.1,-0.27,0.21,73.6,-9.5,13.2,31.4,-4.6,6,0.45,-0.19,0.21,0.99792,70.5,-9,12.4
GW190425,Binary Neutron Star Collision,2.1,-0.4,0.5,1.3,-0.2,0.3,12.4,-0.4,0.4,150,-60,80,0.07,-0.05,0.07,3.4,-0.1,0.3,1.44,-0.02,0.02,0.03,-0.01,0.02,0.78349,,,
GW190426_190642,Binary Black Hole Collision,105.5,-24.1,45.3,76,-36.5,26.2,8.7,-0.6,0.4,4580,-2280,3400,0.23,-0.41,0.42,182.3,-35.7,40.2,76,-17.4,19.1,0.73,-0.32,0.41,0.75053,172.9,-33.6,37.7
GW190503_185404,Binary Black Hole Collision,41.3,-7.7,10.3,28.3,-9.2,7.5,12.2,-0.4,0.2,1520,-600,630,-0.05,-0.3,0.23,69.4,-8.6,10.1,29.3,-4.4,4.5,0.29,-0.1,0.1,1,66.5,-7.9,9.4
GW190512_180714,Binary Black Hole Collision,23.2,-5.6,5.6,12.5,-2.6,3.5,12.7,-0.4,0.3,1460,-590,510,0.02,-0.14,0.13,35.8,-3.5,4.1,14.6,-0.9,1.4,0.28,-0.1,0.08,1,34.3,-3.4,4.1
GW190513_205428,Binary Black Hole Collision,36,-9.7,10.6,18.3,-4.7,7.4,12.5,-0.4,0.3,2210,-810,990,0.16,-0.22,0.29,54.4,-6.7,9.3,21.8,-2.2,3.8,0.4,-0.13,0.14,0.99998,52.1,-6.6,8.8
GW190514_065416,Binary Black Hole Collision,40.9,-9.3,17.3,28.4,-10.1,10,8,-0.6,0.3,3890,-2070,2610,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,0.64,-0.3,0.33,0.76021,66.4,-11.5,19
